title,category,level,provider,duration,price,rating,students,description
AI 강의 1,인공지능,초급,AI 교육 플랫폼 2,15시간,51000,4.1,105,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 1)
AI 강의 2,인공지능,초급,AI 교육 플랫폼 3,20시간,52000,4.2,110,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 2)
AI 강의 3,인공지능,초급,AI 교육 플랫폼 4,25시간,53000,4.3,115,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 3)
AI 강의 4,인공지능,초급,AI 교육 플랫폼 5,30시간,0,4.4,120,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 4)
AI 강의 5,인공지능,초급,AI 교육 플랫폼 1,10시간,55000,4.5,125,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 5)
AI 강의 6,인공지능,초급,AI 교육 플랫폼 2,15시간,56000,4.6,130,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 6)
AI 강의 7,인공지능,초급,AI 교육 플랫폼 3,20시간,57000,4.7,135,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 7)
AI 강의 8,인공지능,초급,AI 교육 플랫폼 4,25시간,0,4.8,140,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 8)
AI 강의 9,인공지능,초급,AI 교육 플랫폼 5,30시간,59000,4.9,145,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 9)
AI 강의 10,인공지능,초급,AI 교육 플랫폼 1,10시간,50000,4.0,150,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 10)
AI 강의 11,인공지능,초급,AI 교육 플랫폼 2,15시간,51000,4.1,155,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 11)
AI 강의 12,인공지능,초급,AI 교육 플랫폼 3,20시간,0,4.2,160,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 12)
AI 강의 13,인공지능,초급,AI 교육 플랫폼 4,25시간,53000,4.3,165,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 13)
AI 강의 14,인공지능,초급,AI 교육 플랫폼 5,30시간,54000,4.4,170,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 14)
AI 강의 15,인공지능,초급,AI 교육 플랫폼 1,10시간,55000,4.5,175,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 15)
AI 강의 16,인공지능,초급,AI 교육 플랫폼 2,15시간,0,4.6,180,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 16)
AI 강의 17,인공지능,초급,AI 교육 플랫폼 3,20시간,57000,4.7,185,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 17)
AI 강의 18,인공지능,초급,AI 교육 플랫폼 4,25시간,58000,4.8,190,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 18)
AI 강의 19,인공지능,초급,AI 교육 플랫폼 5,30시간,59000,4.9,195,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 19)
AI 강의 20,인공지능,초급,AI 교육 플랫폼 1,10시간,0,4.0,200,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 20)
AI 강의 21,인공지능,초급,AI 교육 플랫폼 2,15시간,51000,4.1,205,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 21)
AI 강의 22,인공지능,초급,AI 교육 플랫폼 3,20시간,52000,4.2,210,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 22)
AI 강의 23,인공지능,초급,AI 교육 플랫폼 4,25시간,53000,4.3,215,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 23)
AI 강의 24,인공지능,초급,AI 교육 플랫폼 5,30시간,0,4.4,220,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 24)
AI 강의 25,인공지능,초급,AI 교육 플랫폼 1,10시간,55000,4.5,225,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 25)
AI 강의 26,인공지능,초급,AI 교육 플랫폼 2,15시간,56000,4.6,230,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 26)
AI 강의 27,인공지능,초급,AI 교육 플랫폼 3,20시간,57000,4.7,235,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 27)
AI 강의 28,인공지능,초급,AI 교육 플랫폼 4,25시간,0,4.8,240,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 28)
AI 강의 29,인공지능,초급,AI 교육 플랫폼 5,30시간,59000,4.9,245,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 29)
AI 강의 30,인공지능,초급,AI 교육 플랫폼 1,10시간,50000,4.0,250,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 30)
AI 강의 31,인공지능,초급,AI 교육 플랫폼 2,15시간,51000,4.1,255,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 31)
AI 강의 32,인공지능,초급,AI 교육 플랫폼 3,20시간,0,4.2,260,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 32)
AI 강의 33,인공지능,초급,AI 교육 플랫폼 4,25시간,53000,4.3,265,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 33)
AI 강의 34,인공지능,중급,AI 교육 플랫폼 5,30시간,54000,4.4,270,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 34)
AI 강의 35,인공지능,중급,AI 교육 플랫폼 1,10시간,55000,4.5,275,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 35)
AI 강의 36,인공지능,중급,AI 교육 플랫폼 2,15시간,0,4.6,280,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 36)
AI 강의 37,인공지능,중급,AI 교육 플랫폼 3,20시간,57000,4.7,285,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 37)
AI 강의 38,인공지능,중급,AI 교육 플랫폼 4,25시간,58000,4.8,290,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 38)
AI 강의 39,인공지능,중급,AI 교육 플랫폼 5,30시간,59000,4.9,295,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 39)
AI 강의 40,인공지능,중급,AI 교육 플랫폼 1,10시간,0,4.0,300,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 40)
AI 강의 41,인공지능,중급,AI 교육 플랫폼 2,15시간,51000,4.1,305,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 41)
AI 강의 42,인공지능,중급,AI 교육 플랫폼 3,20시간,52000,4.2,310,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 42)
AI 강의 43,인공지능,중급,AI 교육 플랫폼 4,25시간,53000,4.3,315,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 43)
AI 강의 44,인공지능,중급,AI 교육 플랫폼 5,30시간,0,4.4,320,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 44)
AI 강의 45,인공지능,중급,AI 교육 플랫폼 1,10시간,55000,4.5,325,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 45)
AI 강의 46,인공지능,중급,AI 교육 플랫폼 2,15시간,56000,4.6,330,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 46)
AI 강의 47,인공지능,중급,AI 교육 플랫폼 3,20시간,57000,4.7,335,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 47)
AI 강의 48,인공지능,중급,AI 교육 플랫폼 4,25시간,0,4.8,340,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 48)
AI 강의 49,인공지능,중급,AI 교육 플랫폼 5,30시간,59000,4.9,345,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 49)
AI 강의 50,인공지능,중급,AI 교육 플랫폼 1,10시간,50000,4.0,350,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 50)
AI 강의 51,인공지능,중급,AI 교육 플랫폼 2,15시간,51000,4.1,355,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 51)
AI 강의 52,인공지능,중급,AI 교육 플랫폼 3,20시간,0,4.2,360,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 52)
AI 강의 53,인공지능,중급,AI 교육 플랫폼 4,25시간,53000,4.3,365,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 53)
AI 강의 54,인공지능,중급,AI 교육 플랫폼 5,30시간,54000,4.4,370,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 54)
AI 강의 55,인공지능,중급,AI 교육 플랫폼 1,10시간,55000,4.5,375,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 55)
AI 강의 56,인공지능,중급,AI 교육 플랫폼 2,15시간,0,4.6,380,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 56)
AI 강의 57,인공지능,중급,AI 교육 플랫폼 3,20시간,57000,4.7,385,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 57)
AI 강의 58,인공지능,중급,AI 교육 플랫폼 4,25시간,58000,4.8,390,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 58)
AI 강의 59,인공지능,중급,AI 교육 플랫폼 5,30시간,59000,4.9,395,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 59)
AI 강의 60,인공지능,중급,AI 교육 플랫폼 1,10시간,0,4.0,400,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 60)
AI 강의 61,인공지능,중급,AI 교육 플랫폼 2,15시간,51000,4.1,405,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 61)
AI 강의 62,인공지능,중급,AI 교육 플랫폼 3,20시간,52000,4.2,410,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 62)
AI 강의 63,인공지능,중급,AI 교육 플랫폼 4,25시간,53000,4.3,415,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 63)
AI 강의 64,인공지능,중급,AI 교육 플랫폼 5,30시간,0,4.4,420,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 64)
AI 강의 65,인공지능,중급,AI 교육 플랫폼 1,10시간,55000,4.5,425,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 65)
AI 강의 66,인공지능,중급,AI 교육 플랫폼 2,15시간,56000,4.6,430,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 66)
AI 강의 67,인공지능,고급,AI 교육 플랫폼 3,20시간,57000,4.7,435,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 67)
AI 강의 68,인공지능,고급,AI 교육 플랫폼 4,25시간,0,4.8,440,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 68)
AI 강의 69,인공지능,고급,AI 교육 플랫폼 5,30시간,59000,4.9,445,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 69)
AI 강의 70,인공지능,고급,AI 교육 플랫폼 1,10시간,50000,4.0,450,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 70)
AI 강의 71,인공지능,고급,AI 교육 플랫폼 2,15시간,51000,4.1,455,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 71)
AI 강의 72,인공지능,고급,AI 교육 플랫폼 3,20시간,0,4.2,460,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 72)
AI 강의 73,인공지능,고급,AI 교육 플랫폼 4,25시간,53000,4.3,465,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 73)
AI 강의 74,인공지능,고급,AI 교육 플랫폼 5,30시간,54000,4.4,470,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 74)
AI 강의 75,인공지능,고급,AI 교육 플랫폼 1,10시간,55000,4.5,475,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 75)
AI 강의 76,인공지능,고급,AI 교육 플랫폼 2,15시간,0,4.6,480,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 76)
AI 강의 77,인공지능,고급,AI 교육 플랫폼 3,20시간,57000,4.7,485,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 77)
AI 강의 78,인공지능,고급,AI 교육 플랫폼 4,25시간,58000,4.8,490,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 78)
AI 강의 79,인공지능,고급,AI 교육 플랫폼 5,30시간,59000,4.9,495,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 79)
AI 강의 80,인공지능,고급,AI 교육 플랫폼 1,10시간,0,4.0,500,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 80)
AI 강의 81,인공지능,고급,AI 교육 플랫폼 2,15시간,51000,4.1,505,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 81)
AI 강의 82,인공지능,고급,AI 교육 플랫폼 3,20시간,52000,4.2,510,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 82)
AI 강의 83,인공지능,고급,AI 교육 플랫폼 4,25시간,53000,4.3,515,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 83)
AI 강의 84,인공지능,고급,AI 교육 플랫폼 5,30시간,0,4.4,520,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 84)
AI 강의 85,인공지능,고급,AI 교육 플랫폼 1,10시간,55000,4.5,525,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 85)
AI 강의 86,인공지능,고급,AI 교육 플랫폼 2,15시간,56000,4.6,530,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 86)
AI 강의 87,인공지능,고급,AI 교육 플랫폼 3,20시간,57000,4.7,535,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 87)
AI 강의 88,인공지능,고급,AI 교육 플랫폼 4,25시간,0,4.8,540,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 88)
AI 강의 89,인공지능,고급,AI 교육 플랫폼 5,30시간,59000,4.9,545,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 89)
AI 강의 90,인공지능,고급,AI 교육 플랫폼 1,10시간,50000,4.0,550,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 90)
AI 강의 91,인공지능,고급,AI 교육 플랫폼 2,15시간,51000,4.1,555,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 91)
AI 강의 92,인공지능,고급,AI 교육 플랫폼 3,20시간,0,4.2,560,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 92)
AI 강의 93,인공지능,고급,AI 교육 플랫폼 4,25시간,53000,4.3,565,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 93)
AI 강의 94,인공지능,고급,AI 교육 플랫폼 5,30시간,54000,4.4,570,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 94)
AI 강의 95,인공지능,고급,AI 교육 플랫폼 1,10시간,55000,4.5,575,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 95)
AI 강의 96,인공지능,고급,AI 교육 플랫폼 2,15시간,0,4.6,580,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 96)
AI 강의 97,인공지능,고급,AI 교육 플랫폼 3,20시간,57000,4.7,585,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 97)
AI 강의 98,인공지능,고급,AI 교육 플랫폼 4,25시간,58000,4.8,590,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 98)
AI 강의 99,인공지능,고급,AI 교육 플랫폼 5,30시간,59000,4.9,595,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 99)
AI 강의 100,인공지능,고급,AI 교육 플랫폼 1,10시간,0,4.0,600,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 100)
